charId,等级,力量,敏捷,智识,意志,生命值,攻击力,法术等级系数,普通攻击范围,精英化等级
chr_0012_avywen,1,12.8865979381443,10.7731958762887,14.1237113402062,15,500,30,1,3,0
chr_0012_avywen,2,13.948032821376,11.8505154639175,15.2066063538818,16.5,556,33,1.00510204081633,3,0
chr_0012_avywen,3,15.0094677046076,12.9278350515464,16.2895013675573,18,612,36,1.01020408163265,3,0
chr_0012_avywen,4,16.0709025878393,14.0051546391753,17.3723963812329,19.5,668,39,1.01530612244898,3,0
chr_0012_avywen,5,17.1323374710709,15.0824742268041,18.4552913949085,21,724,43,1.02040816326531,3,0
chr_0012_avywen,6,18.1937723543026,16.159793814433,19.5381864085841,22.5,781,46,1.02551020408163,3,0
chr_0012_avywen,7,19.2552072375342,17.2371134020619,20.6210814222596,24,837,49,1.03061224489796,3,0
chr_0012_avywen,8,20.3166421207658,18.3144329896907,21.7039764359352,25.5,893,52,1.03571428571429,3,0
chr_0012_avywen,9,21.3780770039975,19.3917525773196,22.7868714496108,27,949,55,1.04081632653061,3,0
chr_0012_avywen,10,22.4395118872291,20.4690721649485,23.8697664632863,28.5,1005,58,1.04591836734694,3,0
chr_0012_avywen,11,23.5009467704608,21.5463917525773,24.9526614769619,30,1061,62,1.05102040816327,3,0
chr_0012_avywen,12,24.5623816536924,22.6237113402062,26.0355564906375,31.5,1117,65,1.05612244897959,3,0
chr_0012_avywen,13,25.6238165369241,23.7010309278351,27.1184515043131,33,1173,68,1.06122448979592,3,0
chr_0012_avywen,14,26.6852514201557,24.7783505154639,28.2013465179886,34.5,1230,71,1.06632653061225,3,0
chr_0012_avywen,15,27.7466863033873,25.8556701030928,29.2842415316642,36,1286,74,1.07142857142857,3,0
chr_0012_avywen,16,28.808121186619,26.9329896907217,30.3671365453398,37.5,1342,77,1.0765306122449,3,0
chr_0012_avywen,17,29.8695560698506,28.0103092783505,31.4500315590154,39,1398,81,1.08163265306123,3,0
chr_0012_avywen,18,30.9309909530823,29.0876288659794,32.532926572691,40.5,1454,84,1.08673469387755,3,0
chr_0012_avywen,19,31.9924258363139,30.1649484536083,33.6158215863665,42,1510,87,1.09183673469388,3,0
chr_0012_avywen,20,33.0538607195456,31.2422680412371,34.6987166000421,43.5,1566,90,1.0969387755102,3,0
chr_0012_avywen,20,33.0538607195456,31.2422680412371,34.6987166000421,43.5,1566,90,1.0969387755102,3,1
chr_0012_avywen,21,34.1152956027772,32.319587628866,35.7816116137177,45,1622,93,1.10204081632653,3,1
chr_0012_avywen,22,35.1767304860089,33.3969072164949,36.8645066273932,46.5,1679,96,1.10714285714286,3,1
chr_0012_avywen,23,36.2381653692405,34.4742268041237,37.9474016410688,48,1735,100,1.11224489795918,3,1
